,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,gain,acute-inflammations,5,0.567,0.224
1,gain,acute-inflammations,20,0.473,0.105
2,gain,acute-inflammations,40,0.593,0.159
3,gain,autism-adolescent,5,0.539,0.126
4,gain,autism-adolescent,20,0.514,0.162
5,gain,autism-adolescent,40,0.645,0.096
6,gain,autism-adult,5,0.592,0.101
7,gain,autism-adult,20,0.504,0.054
8,gain,autism-adult,40,0.537,0.058
9,gain,autism-child,5,0.535,0.077
10,gain,autism-child,20,0.589,0.054
11,gain,autism-child,40,0.62,0.075
12,gain,bc-coimbra,5,0.479,0.059
13,gain,bc-coimbra,20,0.73,0.093
14,gain,bc-coimbra,40,0.642,0.104
15,gain,blood-transfusion,5,0.483,0.208
16,gain,blood-transfusion,20,0.448,0.113
17,gain,blood-transfusion,40,0.656,0.106
18,gain,contraceptive-methods,5,0.58,0.149
19,gain,contraceptive-methods,20,0.541,0.098
20,gain,contraceptive-methods,40,0.568,0.074
21,gain,diabetic,5,0.465,0.056
22,gain,diabetic,20,0.427,0.031
23,gain,diabetic,40,0.445,0.044
24,gain,echocardiogram,5,0.602,0.194
25,gain,echocardiogram,20,0.63,0.06
26,gain,echocardiogram,40,0.663,0.085
27,gain,fertility,5,0.576,0.097
28,gain,fertility,20,0.517,0.073
29,gain,fertility,40,0.536,0.072
30,gain,german-credit,5,0.423,0.048
31,gain,german-credit,20,0.451,0.068
32,gain,german-credit,40,0.438,0.029
33,gain,haberman,5,0.248,0.2
34,gain,haberman,20,0.648,0.216
35,gain,haberman,40,0.661,0.188
36,gain,hcv-egyptian,5,0.495,0.034
37,gain,hcv-egyptian,20,0.529,0.038
38,gain,hcv-egyptian,40,0.556,0.042
39,gain,heart-cleveland,5,0.465,0.079
40,gain,heart-cleveland,20,0.48,0.045
41,gain,heart-cleveland,40,0.513,0.063
42,gain,hepatitis,5,0.536,0.096
43,gain,hepatitis,20,0.611,0.066
44,gain,hepatitis,40,0.572,0.076
45,gain,iris,5,0.656,0.213
46,gain,iris,20,0.718,0.121
47,gain,iris,40,0.818,0.025
48,gain,liver,5,0.44,0.055
49,gain,liver,20,0.501,0.025
50,gain,liver,40,0.495,0.037
51,gain,mathernal-risk,5,0.53,0.178
52,gain,mathernal-risk,20,0.566,0.113
53,gain,mathernal-risk,40,0.587,0.076
54,gain,npha,5,0.531,0.123
55,gain,npha,20,0.483,0.074
56,gain,npha,40,0.442,0.061
57,gain,parkinsons,5,0.438,0.047
58,gain,parkinsons,20,0.459,0.051
59,gain,parkinsons,40,0.462,0.014
60,gain,phoneme,5,0.472,0.072
61,gain,phoneme,20,0.385,0.078
62,gain,phoneme,40,0.407,0.024
63,gain,pima-diabetes,5,0.503,0.067
64,gain,pima-diabetes,20,0.406,0.061
65,gain,pima-diabetes,40,0.478,0.059
